City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
130,Bambous Virieux,MU,76.21,light rain,-20.3428,57.7575,Casa Tia Villa
134,Kedougou,SN,90.68,overcast clouds,12.5579,-12.1743,Relais de Kédougou
136,Bom Despacho,BR,63.41,few clouds,-19.7364,-45.2522,Sitio Sensation
137,Samarai,PG,83.34,broken clouds,-10.6167,150.6667,Nuli Sapi
138,Lompoc,US,71.78,mist,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
141,Butaritari,KI,81.36,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
143,Macau,MO,83.86,few clouds,22.2006,113.5461,Grand Emperor Hotel
144,Dong Hoi,VN,76.35,clear sky,17.4833,106.6,Nam Long Hotel
145,Marsa Matruh,EG,61.97,clear sky,31.3525,27.2453,Beau Site
146,Korla,CN,78.62,overcast clouds,41.7597,86.1469,Gulisitan Hotel
150,Muisne,EC,75.67,overcast clouds,0.6,-80.0333,Quinta Samay
153,Lufilufi,WS,82.99,few clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
154,Harper,LR,80.58,broken clouds,4.375,-7.7169,Screensaver
155,Baculin,PH,82.11,overcast clouds,7.4525,126.5842,Baculin Cove Beach Resort
157,Chabahar,IR,79.74,clear sky,25.2919,60.643,هتل گدروشیا
160,Esmeralda,CU,74.52,overcast clouds,21.8525,-78.1169,Centro de Pioneros Exploradores
163,Huixquilucan,MX,69.66,overcast clouds,19.3603,-99.3514,Cabañas El Tata
165,Naze,JP,67.64,moderate rain,28.3667,129.4833,Shishime Hotel
166,San Patricio,US,81.9,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
167,Tabuk,PH,85.33,scattered clouds,17.4189,121.4443,Golden Berries Hotel and Convention
168,Geraldton,AU,68.41,clear sky,-28.7667,114.6,Broadwater Mariner Resort
169,Ambilobe,MG,68.09,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
172,Lagoa,PT,61.16,overcast clouds,39.05,-27.9833,Casa Das Faias
180,Hasaki,JP,79.29,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
182,Kerema,PG,79.54,moderate rain,-7.9631,145.7785,Frena Lodge
187,Sabha,LY,73.04,few clouds,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
188,San Quintin,MX,61.74,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
189,Alice Springs,AU,60.35,broken clouds,-23.7,133.8833,Desert Palms Alice Springs
190,Umm Kaddadah,SD,78.37,few clouds,13.6017,26.6876,Desert Palms Alice Springs
191,Katsuura,JP,68.99,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
192,Tsaratanana,MG,66.0,clear sky,-16.7833,47.65,Katsuura Hotel Mikazuki
193,Kununurra,AU,89.58,clear sky,-15.7667,128.7333,Hotel Kununurra
196,Traipu,BR,73.38,overcast clouds,-9.9706,-37.0033,Fazenda Bela Vista
197,Salalah,OM,79.45,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
199,Coari,BR,73.47,overcast clouds,-4.085,-63.1414,Dellrey Hotel Center
200,Booue,GA,73.04,overcast clouds,-0.0921,11.9385,Splendeur de l'équateur
202,Sarauli,IN,86.2,scattered clouds,28.5,79.1,Dr.Zakir Khan
205,Sabang,ID,82.53,overcast clouds,5.8933,95.3214,Hotel Citra
206,Axim,GH,79.84,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
207,Alvorada,BR,76.15,clear sky,-12.48,-49.1247,Cristal Plaza Hotel
211,Riyadh,SA,84.43,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
212,Kaitangata,NZ,63.68,few clouds,-46.2817,169.8464,Kaitangata Motor Camp
213,Inhambane,MZ,67.24,few clouds,-23.865,35.3833,Oceano
214,Chicama,PE,67.77,broken clouds,-7.8447,-79.1469,Balihai Bungalows
215,Tuatapere,NZ,64.42,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
217,Sambava,MG,73.6,broken clouds,-14.2667,50.1667,Melrose
218,Trujillo,PE,66.78,broken clouds,-8.116,-79.03,Casa Andina Standard Trujillo Plaza
219,Sechura,PE,69.15,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
222,Vaitape,PF,81.75,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
224,Qiongshan,CN,78.44,few clouds,20.0058,110.3542,Sun City Restaurant
226,Umm Lajj,SA,77.23,clear sky,25.0213,37.2685,Moon light Furnished Units
229,Tabou,CI,80.67,broken clouds,4.423,-7.3528,hotêl doufoulougou
231,Lashio,MM,66.06,overcast clouds,22.9333,97.75,Hotel CF Lashio - Burmese Only
232,Anloga,GH,82.08,light rain,5.7947,0.8973,Pin Drop Hotel
233,Meadow Lake,US,61.95,clear sky,34.8014,-106.5436,TumbleWeed RV Park
235,Mattru,SL,77.77,light rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
238,Gwadar,PK,79.14,clear sky,25.1216,62.3254,Sadaf Resort
241,Bago,MM,89.74,scattered clouds,17.3367,96.4797,Jade Garden
242,Ponta Delgada,PT,63.32,broken clouds,37.7333,-25.6667,Vila Nova Hotel
243,Clarksdale,US,73.38,overcast clouds,34.2001,-90.5709,Americas Best Value Inn & Suites Clarksdale
245,Hambantota,LK,79.14,few clouds,6.1241,81.1185,Bungalow 63
246,Catuday,PH,83.44,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
247,Edgewater,US,76.12,clear sky,28.9889,-80.9023,Islander Beach Resort
248,Les Cayes,HT,78.03,scattered clouds,18.2,-73.75,Villa Orphee
249,San Nicolas,PH,87.24,moderate rain,18.1725,120.5953,NORTHVIEW Hotel
251,Vila Franca Do Campo,PT,63.01,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
253,Palafrugell,ES,63.43,overcast clouds,41.9174,3.1631,Hotel La Torre
255,Quelimane,MZ,67.14,light rain,-17.8786,36.8883,Hotel Flamingo
259,Labuhan,ID,83.37,overcast clouds,-6.8844,112.2051,DoubleFAG
